municipio_norm,uf,municipio_ibge,codigo_ibge,regiao_intermediaria,regiao_imediata,mesorregiao
SANTO ANDRE,PB,Santo André,2513851,Campina Grande,Campina Grande,Borborema
SAO BENTO,PB,São Bento,2513901,Patos,Catolé do Rocha - São Bento,Sertão Paraibano
SAO BENTINHO,PB,São Bentinho,2513927,Patos,Pombal,Sertão Paraibano
SAO DOMINGOS DO CARIRI,PB,São Domingos do Cariri,2513943,Campina Grande,Campina Grande,Borborema
SAO DOMINGOS,PB,São Domingos,2513968,Patos,Pombal,Sertão Paraibano
SAO FRANCISCO,PB,São Francisco,2513984,Sousa - Cajazeiras,Sousa,Sertão Paraibano
SAO JOAO DO CARIRI,PB,São João do Cariri,2514008,Campina Grande,Campina Grande,Borborema
SAO JOAO DO TIGRE,PB,São João do Tigre,2514107,Campina Grande,Monteiro,Borborema
SAO JOSE DA LAGOA TAPADA,PB,São José da Lagoa Tapada,2514206,Sousa - Cajazeiras,Sousa,Sertão Paraibano
SAO JOSE DE CAIANA,PB,São José de Caiana,2514305,Patos,Itaporanga,Sertão Paraibano
SAO JOSE DE ESPINHARAS,PB,São José de Espinharas,2514404,Patos,Patos,Sertão Paraibano
SAO JOSE DOS RAMOS,PB,São José dos Ramos,2514453,João Pessoa,Itabaiana,Mata Paraibana
SAO JOSE DE PIRANHAS,PB,São José de Piranhas,2514503,Sousa - Cajazeiras,Cajazeiras,Sertão Paraibano
SAO JOSE DE PRINCESA,PB,São José de Princesa,2514552,Patos,Princesa Isabel,Sertão Paraibano
SAO JOSE DO BONFIM,PB,São José do Bonfim,2514602,Patos,Patos,Sertão Paraibano
SAO JOSE DO BREJO DO CRUZ,PB,São José do Brejo do Cruz,2514651,Patos,Catolé do Rocha - São Bento,Sertão Paraibano
SAO JOSE DO SABUGI,PB,São José do Sabugi,2514701,Patos,Patos,Borborema
SAO JOSE DOS CORDEIROS,PB,São José dos Cordeiros,2514800,Campina Grande,Sumé,Borborema
SAO MAMEDE,PB,São Mamede,2514909,Patos,Patos,Borborema
SAO MIGUEL DE TAIPU,PB,São Miguel de Taipu,2515005,João Pessoa,João Pessoa,Mata Paraibana
SAO SEBASTIAO DE LAGOA DE ROCA,PB,São Sebastião de Lagoa de Roça,2515104,Campina Grande,Campina Grande,Agreste Paraibano
SAO SEBASTIAO DO UMBUZEIRO,PB,São Sebastião do Umbuzeiro,2515203,Campina Grande,Monteiro,Borborema
SAPE,PB,Sapé,2515302,João Pessoa,João Pessoa,Mata Paraibana
SAO VICENTE DO SERIDO,PB,São Vicente do Seridó,2515401,Campina Grande,Campina Grande,Borborema
SERRA BRANCA,PB,Serra Branca,2515500,Campina Grande,Sumé,Borborema
SERRA DA RAIZ,PB,Serra da Raiz,2515609,João Pessoa,Guarabira,Agreste Paraibano
SERRA GRANDE,PB,Serra Grande,2515708,Sousa - Cajazeiras,Cajazeiras,Sertão Paraibano
SERRA REDONDA,PB,Serra Redonda,2515807,Campina Grande,Campina Grande,Agreste Paraibano
SERRARIA,PB,Serraria,2515906,João Pessoa,Guarabira,Agreste Paraibano
SERTAOZINHO,PB,Sertãozinho,2515930,João Pessoa,Guarabira,Agreste Paraibano
SOBRADO,PB,Sobrado,2515971,João Pessoa,João Pessoa,Mata Paraibana
SOLANEA,PB,Solânea,2516003,João Pessoa,Guarabira,Agreste Paraibano
SOLEDADE,PB,Soledade,2516102,Campina Grande,Campina Grande,Agreste Paraibano
SOSSEGO,PB,Sossêgo,2516151,Campina Grande,Cuité - Nova Floresta,Agreste Paraibano
SOUSA,PB,Sousa,2516201,Sousa - Cajazeiras,Sousa,Sertão Paraibano
SUME,PB,Sumé,2516300,Campina Grande,Sumé,Borborema
TACIMA,PB,Tacima,2516409,João Pessoa,Guarabira,Agreste Paraibano
TAPEROA,PB,Taperoá,2516508,Campina Grande,Campina Grande,Borborema
TAVARES,PB,Tavares,2516607,Patos,Princesa Isabel,Sertão Paraibano
TEIXEIRA,PB,Teixeira,2516706,Patos,Patos,Sertão Paraibano
TENORIO,PB,Tenório,2516755,Campina Grande,Campina Grande,Borborema
TRIUNFO,PB,Triunfo,2516805,Sousa - Cajazeiras,Cajazeiras,Sertão Paraibano
UIRAUNA,PB,Uiraúna,2516904,Sousa - Cajazeiras,Sousa,Sertão Paraibano
UMBUZEIRO,PB,Umbuzeiro,2517001,Campina Grande,Campina Grande,Agreste Paraibano
VARZEA,PB,Várzea,2517100,Patos,Patos,Borborema
VIEIROPOLIS,PB,Vieirópolis,2517209,Sousa - Cajazeiras,Sousa,Sertão Paraibano
ZABELE,PB,Zabelê,2517407,Campina Grande,Monteiro,Borborema
ABREU E LIMA,PE,Abreu e Lima,2600054,Recife,Recife,Metropolitana de Recife
AFOGADOS DA INGAZEIRA,PE,Afogados da Ingazeira,2600104,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
AFRANIO,PE,Afrânio,2600203,Petrolina,Petrolina,São Francisco Pernambucano
AGRESTINA,PE,Agrestina,2600302,Caruaru,Caruaru,Agreste Pernambucano
AGUA PRETA,PE,Água Preta,2600401,Recife,Palmares,Mata Pernambucana
AGUAS BELAS,PE,Águas Belas,2600500,Caruaru,Garanhuns,Agreste Pernambucano
ALAGOINHA,PE,Alagoinha,2600609,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
ALIANCA,PE,Aliança,2600708,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
ALTINHO,PE,Altinho,2600807,Caruaru,Caruaru,Agreste Pernambucano
AMARAJI,PE,Amaraji,2600906,Recife,Escada - Ribeirão,Mata Pernambucana
ANGELIM,PE,Angelim,2601003,Caruaru,Garanhuns,Agreste Pernambucano
ARACOIABA,PE,Araçoiaba,2601052,Recife,Recife,Metropolitana de Recife
ARARIPINA,PE,Araripina,2601102,Petrolina,Araripina,Sertão Pernambucano
ARCOVERDE,PE,Arcoverde,2601201,Caruaru,Arcoverde,Sertão Pernambucano
BARRA DE GUABIRABA,PE,Barra de Guabiraba,2601300,Caruaru,Caruaru,Agreste Pernambucano
BARREIROS,PE,Barreiros,2601409,Recife,Barreiros - Sirinhaém,Mata Pernambucana
BELEM DE MARIA,PE,Belém de Maria,2601508,Recife,Palmares,Mata Pernambucana
BELEM DO SAO FRANCISCO,PE,Belém do São Francisco,2601607,Petrolina,Salgueiro,São Francisco Pernambucano
BELO JARDIM,PE,Belo Jardim,2601706,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
BETANIA,PE,Betânia,2601805,Serra Talhada,Serra Talhada,Sertão Pernambucano
BEZERROS,PE,Bezerros,2601904,Caruaru,Caruaru,Agreste Pernambucano
BODOCO,PE,Bodocó,2602001,Petrolina,Araripina,Sertão Pernambucano
BOM CONSELHO,PE,Bom Conselho,2602100,Caruaru,Garanhuns,Agreste Pernambucano
BOM JARDIM,PE,Bom Jardim,2602209,Recife,Limoeiro,Agreste Pernambucano
BONITO,PE,Bonito,2602308,Caruaru,Caruaru,Agreste Pernambucano
BREJAO,PE,Brejão,2602407,Caruaru,Garanhuns,Agreste Pernambucano
BREJINHO,PE,Brejinho,2602506,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
BREJO DA MADRE DE DEUS,PE,Brejo da Madre de Deus,2602605,Caruaru,Caruaru,Agreste Pernambucano
BUENOS AIRES,PE,Buenos Aires,2602704,Recife,Carpina,Mata Pernambucana
BUIQUE,PE,Buíque,2602803,Caruaru,Arcoverde,Agreste Pernambucano
CABO DE SANTO AGOSTINHO,PE,Cabo de Santo Agostinho,2602902,Recife,Recife,Metropolitana de Recife
CABROBO,PE,Cabrobó,2603009,Petrolina,Salgueiro,São Francisco Pernambucano
CACHOEIRINHA,PE,Cachoeirinha,2603108,Caruaru,Caruaru,Agreste Pernambucano
CAETES,PE,Caetés,2603207,Caruaru,Garanhuns,Agreste Pernambucano
CALCADO,PE,Calçado,2603306,Caruaru,Garanhuns,Agreste Pernambucano
CALUMBI,PE,Calumbi,2603405,Serra Talhada,Serra Talhada,Sertão Pernambucano
CAMARAGIBE,PE,Camaragibe,2603454,Recife,Recife,Metropolitana de Recife
CAMOCIM DE SAO FELIX,PE,Camocim de São Félix,2603504,Caruaru,Caruaru,Agreste Pernambucano
CAMUTANGA,PE,Camutanga,2603603,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
CANHOTINHO,PE,Canhotinho,2603702,Caruaru,Garanhuns,Agreste Pernambucano
CAPOEIRAS,PE,Capoeiras,2603801,Caruaru,Garanhuns,Agreste Pernambucano
CARNAIBA,PE,Carnaíba,2603900,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
CARNAUBEIRA DA PENHA,PE,Carnaubeira da Penha,2603926,Serra Talhada,Serra Talhada,São Francisco Pernambucano
CARPINA,PE,Carpina,2604007,Recife,Carpina,Mata Pernambucana
CARUARU,PE,Caruaru,2604106,Caruaru,Caruaru,Agreste Pernambucano
CASINHAS,PE,Casinhas,2604155,Recife,Surubim,Agreste Pernambucano
CATENDE,PE,Catende,2604205,Recife,Palmares,Mata Pernambucana
CEDRO,PE,Cedro,2604304,Petrolina,Salgueiro,Sertão Pernambucano
CHA DE ALEGRIA,PE,Chã de Alegria,2604403,Recife,Vitória de Santo Antão,Mata Pernambucana
CHA GRANDE,PE,Chã Grande,2604502,Caruaru,Caruaru,Mata Pernambucana
CONDADO,PE,Condado,2604601,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
CORRENTES,PE,Correntes,2604700,Caruaru,Garanhuns,Agreste Pernambucano
CORTES,PE,Cortês,2604809,Recife,Escada - Ribeirão,Mata Pernambucana
CUMARU,PE,Cumaru,2604908,Caruaru,Caruaru,Agreste Pernambucano
CUPIRA,PE,Cupira,2605004,Caruaru,Caruaru,Agreste Pernambucano
CUSTODIA,PE,Custódia,2605103,Caruaru,Arcoverde,Sertão Pernambucano
DORMENTES,PE,Dormentes,2605152,Petrolina,Petrolina,São Francisco Pernambucano
ESCADA,PE,Escada,2605202,Recife,Escada - Ribeirão,Mata Pernambucana
EXU,PE,Exu,2605301,Petrolina,Araripina,Sertão Pernambucano
FEIRA NOVA,PE,Feira Nova,2605400,Recife,Limoeiro,Agreste Pernambucano
FERNANDO DE NORONHA,PE,Fernando de Noronha,2605459,Recife,Recife,Metropolitana de Recife
FERREIROS,PE,Ferreiros,2605509,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
FLORES,PE,Flores,2605608,Serra Talhada,Serra Talhada,Sertão Pernambucano
FLORESTA,PE,Floresta,2605707,Serra Talhada,Serra Talhada,São Francisco Pernambucano
FREI MIGUELINHO,PE,Frei Miguelinho,2605806,Recife,Surubim,Agreste Pernambucano
GAMELEIRA,PE,Gameleira,2605905,Recife,Palmares,Mata Pernambucana
GARANHUNS,PE,Garanhuns,2606002,Caruaru,Garanhuns,Agreste Pernambucano
GLORIA DO GOITA,PE,Glória do Goitá,2606101,Recife,Vitória de Santo Antão,Mata Pernambucana
GOIANA,PE,Goiana,2606200,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
GRANITO,PE,Granito,2606309,Petrolina,Araripina,Sertão Pernambucano
GRAVATA,PE,Gravatá,2606408,Caruaru,Caruaru,Agreste Pernambucano
IATI,PE,Iati,2606507,Caruaru,Garanhuns,Agreste Pernambucano
IBIMIRIM,PE,Ibimirim,2606606,Caruaru,Arcoverde,Sertão Pernambucano
IBIRAJUBA,PE,Ibirajuba,2606705,Caruaru,Caruaru,Agreste Pernambucano
IGARASSU,PE,Igarassu,2606804,Recife,Recife,Metropolitana de Recife
IGUARACY,PE,Iguaracy,2606903,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
INAJA,PE,Inajá,2607000,Caruaru,Arcoverde,Sertão Pernambucano
INGAZEIRA,PE,Ingazeira,2607109,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
IPOJUCA,PE,Ipojuca,2607208,Recife,Recife,Metropolitana de Recife
IPUBI,PE,Ipubi,2607307,Petrolina,Araripina,Sertão Pernambucano
ITACURUBA,PE,Itacuruba,2607406,Petrolina,Salgueiro,São Francisco Pernambucano
ITAIBA,PE,Itaíba,2607505,Caruaru,Arcoverde,Agreste Pernambucano
ILHA DE ITAMARACA,PE,Ilha de Itamaracá,2607604,Recife,Recife,Metropolitana de Recife
ITAMBE,PE,Itambé,2607653,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
ITAPETIM,PE,Itapetim,2607703,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
ITAPISSUMA,PE,Itapissuma,2607752,Recife,Recife,Metropolitana de Recife
ITAQUITINGA,PE,Itaquitinga,2607802,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
JABOATAO DOS GUARARAPES,PE,Jaboatão dos Guararapes,2607901,Recife,Recife,Metropolitana de Recife
JAQUEIRA,PE,Jaqueira,2607950,Recife,Palmares,Mata Pernambucana
JATAUBA,PE,Jataúba,2608008,Caruaru,Caruaru,Agreste Pernambucano
JATOBA,PE,Jatobá,2608057,Serra Talhada,Serra Talhada,São Francisco Pernambucano
JOAO ALFREDO,PE,João Alfredo,2608107,Recife,Limoeiro,Agreste Pernambucano
JOAQUIM NABUCO,PE,Joaquim Nabuco,2608206,Recife,Palmares,Mata Pernambucana
JUCATI,PE,Jucati,2608255,Caruaru,Garanhuns,Agreste Pernambucano
JUPI,PE,Jupi,2608305,Caruaru,Garanhuns,Agreste Pernambucano
JUREMA,PE,Jurema,2608404,Caruaru,Garanhuns,Agreste Pernambucano
LAGOA DO CARRO,PE,Lagoa do Carro,2608453,Recife,Carpina,Mata Pernambucana
LAGOA DE ITAENGA,PE,Lagoa de Itaenga,2608503,Recife,Carpina,Mata Pernambucana
LAGOA DO OURO,PE,Lagoa do Ouro,2608602,Caruaru,Garanhuns,Agreste Pernambucano
LAGOA DOS GATOS,PE,Lagoa dos Gatos,2608701,Caruaru,Caruaru,Agreste Pernambucano
LAGOA GRANDE,PE,Lagoa Grande,2608750,Petrolina,Petrolina,São Francisco Pernambucano
LAJEDO,PE,Lajedo,2608800,Caruaru,Garanhuns,Agreste Pernambucano
LIMOEIRO,PE,Limoeiro,2608909,Recife,Limoeiro,Agreste Pernambucano
MACAPARANA,PE,Macaparana,2609006,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
MACHADOS,PE,Machados,2609105,Recife,Limoeiro,Agreste Pernambucano
MANARI,PE,Manari,2609154,Caruaru,Arcoverde,Sertão Pernambucano
MARAIAL,PE,Maraial,2609204,Recife,Palmares,Mata Pernambucana
MIRANDIBA,PE,Mirandiba,2609303,Serra Talhada,Serra Talhada,Sertão Pernambucano
MORENO,PE,Moreno,2609402,Recife,Recife,Metropolitana de Recife
NAZARE DA MATA,PE,Nazaré da Mata,2609501,Recife,Carpina,Mata Pernambucana
OLINDA,PE,Olinda,2609600,Recife,Recife,Metropolitana de Recife
OROBO,PE,Orobó,2609709,Recife,Limoeiro,Agreste Pernambucano
OROCO,PE,Orocó,2609808,Petrolina,Petrolina,São Francisco Pernambucano
OURICURI,PE,Ouricuri,2609907,Petrolina,Araripina,Sertão Pernambucano
PALMARES,PE,Palmares,2610004,Recife,Palmares,Mata Pernambucana
PALMEIRINA,PE,Palmeirina,2610103,Caruaru,Garanhuns,Agreste Pernambucano
PANELAS,PE,Panelas,2610202,Caruaru,Caruaru,Agreste Pernambucano
PARANATAMA,PE,Paranatama,2610301,Caruaru,Garanhuns,Agreste Pernambucano
PARNAMIRIM,PE,Parnamirim,2610400,Petrolina,Salgueiro,Sertão Pernambucano
PASSIRA,PE,Passira,2610509,Recife,Limoeiro,Agreste Pernambucano
PAUDALHO,PE,Paudalho,2610608,Recife,Recife,Mata Pernambucana
PAULISTA,PE,Paulista,2610707,Recife,Recife,Metropolitana de Recife
PEDRA,PE,Pedra,2610806,Caruaru,Arcoverde,Agreste Pernambucano
PESQUEIRA,PE,Pesqueira,2610905,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
PETROLANDIA,PE,Petrolândia,2611002,Serra Talhada,Serra Talhada,São Francisco Pernambucano
PETROLINA,PE,Petrolina,2611101,Petrolina,Petrolina,São Francisco Pernambucano
POCAO,PE,Poção,2611200,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
POMBOS,PE,Pombos,2611309,Recife,Vitória de Santo Antão,Mata Pernambucana
PRIMAVERA,PE,Primavera,2611408,Recife,Escada - Ribeirão,Mata Pernambucana
QUIPAPA,PE,Quipapá,2611507,Caruaru,Garanhuns,Mata Pernambucana
QUIXABA,PE,Quixaba,2611533,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
RECIFE,PE,Recife,2611606,Recife,Recife,Metropolitana de Recife
RIACHO DAS ALMAS,PE,Riacho das Almas,2611705,Caruaru,Caruaru,Agreste Pernambucano
RIBEIRAO,PE,Ribeirão,2611804,Recife,Escada - Ribeirão,Mata Pernambucana
RIO FORMOSO,PE,Rio Formoso,2611903,Recife,Barreiros - Sirinhaém,Mata Pernambucana
SAIRE,PE,Sairé,2612000,Caruaru,Caruaru,Agreste Pernambucano
SALGADINHO,PE,Salgadinho,2612109,Recife,Limoeiro,Agreste Pernambucano
SALGUEIRO,PE,Salgueiro,2612208,Petrolina,Salgueiro,Sertão Pernambucano
SALOA,PE,Saloá,2612307,Caruaru,Garanhuns,Agreste Pernambucano
SANHARO,PE,Sanharó,2612406,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
SANTA CRUZ,PE,Santa Cruz,2612455,Petrolina,Araripina,Sertão Pernambucano
SANTA CRUZ DA BAIXA VERDE,PE,Santa Cruz da Baixa Verde,2612471,Serra Talhada,Serra Talhada,Sertão Pernambucano
SANTA CRUZ DO CAPIBARIBE,PE,Santa Cruz do Capibaribe,2612505,Caruaru,Caruaru,Agreste Pernambucano
SANTA FILOMENA,PE,Santa Filomena,2612554,Petrolina,Araripina,Sertão Pernambucano
SANTA MARIA DA BOA VISTA,PE,Santa Maria da Boa Vista,2612604,Petrolina,Petrolina,São Francisco Pernambucano
SANTA MARIA DO CAMBUCA,PE,Santa Maria do Cambucá,2612703,Recife,Surubim,Agreste Pernambucano
SANTA TEREZINHA,PE,Santa Terezinha,2612802,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
SAO BENEDITO DO SUL,PE,São Benedito do Sul,2612901,Recife,Palmares,Mata Pernambucana
SAO BENTO DO UNA,PE,São Bento do Una,2613008,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
SAO CAITANO,PE,São Caitano,2613107,Caruaru,Caruaru,Agreste Pernambucano
SAO JOAO,PE,São João,2613206,Caruaru,Garanhuns,Agreste Pernambucano
SAO JOAQUIM DO MONTE,PE,São Joaquim do Monte,2613305,Caruaru,Caruaru,Agreste Pernambucano
SAO JOSE DA COROA GRANDE,PE,São José da Coroa Grande,2613404,Recife,Barreiros - Sirinhaém,Mata Pernambucana
SAO JOSE DO BELMONTE,PE,São José do Belmonte,2613503,Serra Talhada,Serra Talhada,Sertão Pernambucano
SAO JOSE DO EGITO,PE,São José do Egito,2613602,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
SAO LOURENCO DA MATA,PE,São Lourenço da Mata,2613701,Recife,Recife,Metropolitana de Recife
SAO VICENTE FERRER,PE,São Vicente Férrer,2613800,Recife,Goiana ¿ Timbaúba,Agreste Pernambucano
SERRA TALHADA,PE,Serra Talhada,2613909,Serra Talhada,Serra Talhada,Sertão Pernambucano
SERRITA,PE,Serrita,2614006,Petrolina,Salgueiro,Sertão Pernambucano
SERTANIA,PE,Sertânia,2614105,Caruaru,Arcoverde,Sertão Pernambucano
SIRINHAEM,PE,Sirinhaém,2614204,Recife,Barreiros - Sirinhaém,Mata Pernambucana
MOREILANDIA,PE,Moreilândia,2614303,Petrolina,Araripina,Sertão Pernambucano
SOLIDAO,PE,Solidão,2614402,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
SURUBIM,PE,Surubim,2614501,Recife,Surubim,Agreste Pernambucano
TABIRA,PE,Tabira,2614600,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
TACAIMBO,PE,Tacaimbó,2614709,Caruaru,Belo Jardim ¿ Pesqueira,Agreste Pernambucano
TACARATU,PE,Tacaratu,2614808,Serra Talhada,Serra Talhada,São Francisco Pernambucano
TAMANDARE,PE,Tamandaré,2614857,Recife,Barreiros - Sirinhaém,Mata Pernambucana
TAQUARITINGA DO NORTE,PE,Taquaritinga do Norte,2615003,Caruaru,Caruaru,Agreste Pernambucano
TEREZINHA,PE,Terezinha,2615102,Caruaru,Garanhuns,Agreste Pernambucano
TERRA NOVA,PE,Terra Nova,2615201,Petrolina,Salgueiro,São Francisco Pernambucano
TIMBAUBA,PE,Timbaúba,2615300,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
TORITAMA,PE,Toritama,2615409,Caruaru,Caruaru,Agreste Pernambucano
TRACUNHAEM,PE,Tracunhaém,2615508,Recife,Carpina,Mata Pernambucana
TRINDADE,PE,Trindade,2615607,Petrolina,Araripina,Sertão Pernambucano
TRIUNFO,PE,Triunfo,2615706,Serra Talhada,Serra Talhada,Sertão Pernambucano
TUPANATINGA,PE,Tupanatinga,2615805,Caruaru,Arcoverde,Agreste Pernambucano
TUPARETAMA,PE,Tuparetama,2615904,Serra Talhada,Afogados da Ingazeira,Sertão Pernambucano
VENTUROSA,PE,Venturosa,2616001,Caruaru,Arcoverde,Agreste Pernambucano
VERDEJANTE,PE,Verdejante,2616100,Petrolina,Salgueiro,Sertão Pernambucano
VERTENTE DO LERIO,PE,Vertente do Lério,2616183,Recife,Surubim,Agreste Pernambucano
VERTENTES,PE,Vertentes,2616209,Recife,Surubim,Agreste Pernambucano
VICENCIA,PE,Vicência,2616308,Recife,Goiana ¿ Timbaúba,Mata Pernambucana
VITORIA DE SANTO ANTAO,PE,Vitória de Santo Antão,2616407,Recife,Vitória de Santo Antão,Mata Pernambucana
XEXEU,PE,Xexéu,2616506,Recife,Palmares,Mata Pernambucana
AGUA BRANCA,AL,Água Branca,2700102,Arapiraca,Delmiro Gouveia,Sertão Alagoano
ANADIA,AL,Anadia,2700201,Maceió,São Miguel dos Campos,Leste Alagoano
ARAPIRACA,AL,Arapiraca,2700300,Arapiraca,Arapiraca,Agreste Alagoano
ATALAIA,AL,Atalaia,2700409,Maceió,Atalaia,Leste Alagoano
BARRA DE SANTO ANTONIO,AL,Barra de Santo Antônio,2700508,Maceió,Maceió,Leste Alagoano
BARRA DE SAO MIGUEL,AL,Barra de São Miguel,2700607,Maceió,Maceió,Leste Alagoano
BATALHA,AL,Batalha,2700706,Arapiraca,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,Sertão Alagoano
BELEM,AL,Belém,2700805,Arapiraca,Palmeira dos Índios,Agreste Alagoano
BELO MONTE,AL,Belo Monte,2700904,Arapiraca,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,Sertão Alagoano
BOCA DA MATA,AL,Boca da Mata,2701001,Maceió,São Miguel dos Campos,Leste Alagoano
BRANQUINHA,AL,Branquinha,2701100,Maceió,União dos Palmares,Leste Alagoano
CACIMBINHAS,AL,Cacimbinhas,2701209,Arapiraca,Palmeira dos Índios,Agreste Alagoano
CAJUEIRO,AL,Cajueiro,2701308,Maceió,Atalaia,Leste Alagoano
CAMPESTRE,AL,Campestre,2701357,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
CAMPO ALEGRE,AL,Campo Alegre,2701407,Maceió,São Miguel dos Campos,Leste Alagoano
CAMPO GRANDE,AL,Campo Grande,2701506,Arapiraca,Arapiraca,Agreste Alagoano
CANAPI,AL,Canapi,2701605,Arapiraca,Santana do Ipanema,Sertão Alagoano
CAPELA,AL,Capela,2701704,Maceió,Atalaia,Leste Alagoano
CARNEIROS,AL,Carneiros,2701803,Arapiraca,Santana do Ipanema,Sertão Alagoano
CHA PRETA,AL,Chã Preta,2701902,Maceió,Atalaia,Leste Alagoano
COITE DO NOIA,AL,Coité do Nóia,2702009,Arapiraca,Arapiraca,Agreste Alagoano
COLONIA LEOPOLDINA,AL,Colônia Leopoldina,2702108,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
COQUEIRO SECO,AL,Coqueiro Seco,2702207,Maceió,Maceió,Leste Alagoano
CORURIPE,AL,Coruripe,2702306,Maceió,Penedo,Leste Alagoano
CRAIBAS,AL,Craíbas,2702355,Arapiraca,Arapiraca,Agreste Alagoano
DELMIRO GOUVEIA,AL,Delmiro Gouveia,2702405,Arapiraca,Delmiro Gouveia,Sertão Alagoano
DOIS RIACHOS,AL,Dois Riachos,2702504,Arapiraca,Santana do Ipanema,Sertão Alagoano
ESTRELA DE ALAGOAS,AL,Estrela de Alagoas,2702553,Arapiraca,Palmeira dos Índios,Agreste Alagoano
FEIRA GRANDE,AL,Feira Grande,2702603,Arapiraca,Arapiraca,Agreste Alagoano
FELIZ DESERTO,AL,Feliz Deserto,2702702,Maceió,Penedo,Leste Alagoano
FLEXEIRAS,AL,Flexeiras,2702801,Maceió,Maceió,Leste Alagoano
GIRAU DO PONCIANO,AL,Girau do Ponciano,2702900,Arapiraca,Arapiraca,Agreste Alagoano
IBATEGUARA,AL,Ibateguara,2703007,Maceió,União dos Palmares,Leste Alagoano
IGACI,AL,Igaci,2703106,Arapiraca,Palmeira dos Índios,Agreste Alagoano
IGREJA NOVA,AL,Igreja Nova,2703205,Maceió,Penedo,Leste Alagoano
INHAPI,AL,Inhapi,2703304,Arapiraca,Delmiro Gouveia,Sertão Alagoano
JACARE DOS HOMENS,AL,Jacaré dos Homens,2703403,Arapiraca,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,Sertão Alagoano
JACUIPE,AL,Jacuípe,2703502,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
JAPARATINGA,AL,Japaratinga,2703601,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
JARAMATAIA,AL,Jaramataia,2703700,Arapiraca,Arapiraca,Sertão Alagoano
JEQUIA DA PRAIA,AL,Jequiá da Praia,2703759,Maceió,São Miguel dos Campos,Leste Alagoano
JOAQUIM GOMES,AL,Joaquim Gomes,2703809,Maceió,Maceió,Leste Alagoano
JUNDIA,AL,Jundiá,2703908,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
JUNQUEIRO,AL,Junqueiro,2704005,Arapiraca,Arapiraca,Leste Alagoano
LAGOA DA CANOA,AL,Lagoa da Canoa,2704104,Arapiraca,Arapiraca,Agreste Alagoano
LIMOEIRO DE ANADIA,AL,Limoeiro de Anadia,2704203,Arapiraca,Arapiraca,Agreste Alagoano
MACEIO,AL,Maceió,2704302,Maceió,Maceió,Leste Alagoano
MAJOR ISIDORO,AL,Major Isidoro,2704401,Arapiraca,Palmeira dos Índios,Sertão Alagoano
MARAGOGI,AL,Maragogi,2704500,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
MARAVILHA,AL,Maravilha,2704609,Arapiraca,Santana do Ipanema,Sertão Alagoano
MARECHAL DEODORO,AL,Marechal Deodoro,2704708,Maceió,Maceió,Leste Alagoano
MARIBONDO,AL,Maribondo,2704807,Arapiraca,Arapiraca,Agreste Alagoano
MAR VERMELHO,AL,Mar Vermelho,2704906,Maceió,Atalaia,Agreste Alagoano
MATA GRANDE,AL,Mata Grande,2705002,Arapiraca,Delmiro Gouveia,Sertão Alagoano
MATRIZ DE CAMARAGIBE,AL,Matriz de Camaragibe,2705101,Maceió,Porto Calvo - São Luís do Quitunde,Leste Alagoano
MESSIAS,AL,Messias,2705200,Maceió,Maceió,Leste Alagoano
MINADOR DO NEGRAO,AL,Minador do Negrão,2705309,Arapiraca,Palmeira dos Índios,Agreste Alagoano
